('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:23')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:24')
('NR', '28/12/18', '10:35:25')
('NR', '28/12/18', '10:35:25')
('NR', '28/12/18', '10:35:25')
('NR', '28/12/18', '10:35:25')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:26')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:27')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:28')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:29')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:30')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:31')
('NR', '28/12/18', '10:35:32')
('NR', '28/12/18', '10:35:33')
('NR', '28/12/18', '10:35:33')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:57')
('NR', '29/12/18', '12:11:58')
('NR', '29/12/18', '12:11:58')
('OA', '29/12/18', '12:11:58')
('OA', '29/12/18', '12:11:58')
('NR', '29/12/18', '12:11:58')
('NR', '29/12/18', '12:11:58')
('NR', '29/12/18', '12:11:58')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:11:59')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:00')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:01')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:02')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:03')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:04')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:05')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:06')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:07')
