('NR', '23/12/18', '11:46:49')
('NR', '23/12/18', '11:46:49')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:50')
('NR', '23/12/18', '11:46:51')
('NR', '23/12/18', '11:46:51')
('NR', '23/12/18', '11:46:51')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:52')
('NR', '23/12/18', '11:46:53')
('NR', '23/12/18', '11:46:53')
('OA', '23/12/18', '11:46:53')
('OA', '23/12/18', '11:46:53')
('NR', '23/12/18', '11:46:53')
('NR', '23/12/18', '11:46:53')
('OA', '23/12/18', '11:46:54')
('OA', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:54')
('NR', '23/12/18', '11:46:55')
('NR', '23/12/18', '11:46:55')
('OA', '23/12/18', '11:46:55')
('OA', '23/12/18', '11:46:55')
('NR', '23/12/18', '11:46:56')
('NR', '23/12/18', '11:46:56')
('NR', '23/12/18', '11:46:56')
('NR', '23/12/18', '11:46:56')
('NR', '23/12/18', '11:46:56')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:57')
('NR', '23/12/18', '11:46:58')
('OA', '23/12/18', '11:46:58')
('OA', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:58')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:46:59')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:00')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:01')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:02')
('NR', '23/12/18', '11:47:03')
('NR', '23/12/18', '11:47:03')
('NR', '23/12/18', '11:47:03')
