('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:41')
('NR', '26/12/18', '08:52:42')
('NR', '26/12/18', '08:52:42')
('OA', '26/12/18', '08:52:43')
('OA', '26/12/18', '08:52:43')
('OA', '26/12/18', '08:52:43')
('OA', '26/12/18', '08:52:43')
('OA', '26/12/18', '08:52:44')
('OA', '26/12/18', '08:52:44')
('OA', '26/12/18', '08:52:44')
('OA', '26/12/18', '08:52:44')
('NR', '26/12/18', '08:52:44')
('NR', '26/12/18', '08:52:44')
('NR', '26/12/18', '08:52:44')
('NR', '26/12/18', '08:52:45')
('NR', '26/12/18', '08:52:45')
('NR', '26/12/18', '08:52:45')
('NR', '26/12/18', '08:52:45')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:46')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:47')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:48')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:49')
('NR', '26/12/18', '08:52:50')
('NR', '26/12/18', '08:52:50')
('NR', '26/12/18', '08:52:50')
('NR', '26/12/18', '08:52:50')
('OA', '26/12/18', '08:52:50')
('OA', '26/12/18', '08:52:50')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:51')
('OA', '26/12/18', '08:52:52')
('OA', '26/12/18', '08:52:52')
('OA', '26/12/18', '08:52:52')
('OA', '26/12/18', '08:52:52')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:53')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:54')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:55')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
('OA', '26/12/18', '08:52:56')
